REFERENCIA	DESCRIPCION_REF	STOCK_TOTAL_PORTABILIDAD	STOCK_DISPONIBLE_PORTABILIDAD	COMPROMETIDO_PORTABILIDAD	PENDIENTE_PORTABILIDAD	STOCK_TOTAL_NO_PORTABILIDAD	DISPONIBLE_NO_PORTABILIDAD	COMPROMETIDO_NO_PORTABILIDAD	PENDIENTE_NO_PORTABILIDAD
3310109	IPHONE 4 16GB BLACK POS UMTS	35	5	30	0	4	4	0	0
3010116	SE XPERIA X8 NEGRO (SHAKIRA)  UMTS	35	4	31	0	48	43	5	0
3020099	ORANGE LISBOA BLANCO SIG	34	30	4	0	78	74	4	0
3020111	LG T310 ROSA (PLUM) SIG	34	13	21	0	24	16	8	0
3030250	NOKIA N8 NEGRO UMTS SIG	34	0	34	0	1	0	1	0
3240171	ZTE MF637 NEGRO IEW+HP MINI 210 POS M	30	30	0	0	80	79	1	0
3030155	LG BL40 NEGRO (WHITE) POS UMTS SIG	30	23	7	0	42	41	1	0
3030195	BLACKBERRY 9700 (ONYX) UMTS SIG	27	2	25	0	0	0	0	0
3000197	SAMSUNG E1153 ROJO	24	18	6	0	1	1	0	0
3020106	SAMSUNG E2550 NEGRO (PINE) SIG	21	15	6	0	1	1	0	0
3000194	SAMSUNG E1150 ROJO	19	19	0	0	40	40	0	0
3320103	SAMSUNG S5230W NEGRO POS SIG	16	16	0	0	17	16	1	0
3020095	ORANGE AMSTERDAM NARANJA SIG	14	10	4	0	2	0	2	0
3330245	SE U5i (VIVAZ) AZUL POS UMTS SIG	14	0	14	0	1	1	0	0
3320082	BLACKBERRY 8520 NEGRO (GEMINI) POS SIG	13	1	12	0	0	0	0	0
3030253	SAMSUNG I9000 GALAXY S UMTS SIG	11	0	11	23	2	2	0	0
3310093	HTC DESIRE (BRAVO) POS UMTS	10	2	8	0	1	1	0	0
3010074	NOKIA E63 UMTS	9	9	0	0	33	33	0	0
3020112	SAMSUNG E2550 BLANCO (PINE) SIG	8	8	0	0	2	2	0	0
3330215	SE U5i (VIVAZ) PLATA POS UMTS SIG	7	0	7	0	0	0	0	0
3020088	ORANGE AMSTERDAM ROJO SIG	6	6	0	0	1	1	0	0
3030203	LG GD880 (MINI) NEGRO PLATA POS UMTS SIG	5	1	4	0	0	0	0	0
3030235	SAMSUNG S8500 (WAVE) UMTS SIG	5	1	4	0	0	0	0	0
3310111	IPHONE 4 32GB BLACK POS UMTS	5	0	5	0	0	0	0	0
3330234	SAMSUNG Onix S5620 NEGRO POS UMTS SIG	5	0	5	0	0	0	0	0
3320092	BLACKBERRY 8520 BLANCO (GEMINI) SIG	4	0	4	0	1	1	0	0
3310117	SE XPERIA X8 BLANCO (SHAKIRA) POS UMTS	4	0	4	0	0	0	0	0
3330251	NOKIA X6 8GB NEGRO POS UMTS SIG	3	0	3	0	0	0	0	0
3310087	SE U10i (AINO) BLANCO POS UMTS	3	0	3	0	0	-1	1	1
3330235	SAMSUNG S8500 (WAVE) POS UMTS SIG	3	0	3	0	0	-1	1	1
3330233	NOKIA X6 16GB NEGRO NAVI POS UMTS SIG	3	0	3	0	0	-2	2	2
3030175	SAMSUNG S800 (CUBIC) POS UMTS	2	1	1	0	1	1	0	0
3310092	MOTOROLA MILESTONE POS UMTS	2	1	1	0	0	0	0	0
3320102	SAMSUNG S5230W BLANCO POS SIG	2	1	1	0	0	0	0	0
3330170	NOKIA 2730 POS UMTS SIG	2	1	1	0	0	0	0	0
3330223	LG GT405 NEGRO POS UMTS SIG	2	1	1	0	0	0	0	0
3020076	SAMSUNG S5230 STAR ( ELY) BLANC	2	0	2	0	4	4	0	0
3320104	NOKIA C3 GRIS POS SIG	2	0	2	0	1	0	1	0
3010077	HTC  HERO BLANCO UMTS	2	0	2	0	0	0	0	0
3010088	SE AINO ZERO NEGRO UMTS	2	0	2	0	0	0	0	0
3030227	NOKIA 5230 BLANCO+ROJO NAVI UMTS SIG	2	0	2	0	0	0	0	0
3300197	SAMSUNG E1153 ROJO POS	2	0	2	0	0	0	0	0
3310088	SE U10i (AINO) NEGRO POS UMTS	2	0	2	0	0	0	0	0
3320107	NOKIA C3 DORADO POS  SIG	2	0	2	0	0	0	0	0
3020055	NOKIA 2680 AZUL SIG	1	1	0	0	0	0	0	0
3240165	SE F100i VIOLETA DIA DE LA MADRE	1	1	0	0	0	-1	1	1
